科目名, 分野, K-Number
総合政策学【学期前半】, 基盤科目-総合講座科目, FPE-CO-11001-211-88
環境情報学【学期前半】, 基盤科目-総合講座科目, FPE-CO-11003-211-88
慶應義塾入門, 基盤科目-総合講座科目, FPE-CO-01103-231-85
ドイツ語ベーシック１GB, 基盤科目-言語コミュニケーション科目, FPE-CO-02502-119-02
ドイツ語ベーシック１GA, 基盤科目-言語コミュニケーション科目, FPE-CO-02502-119-02
ドイツ語ベーシック２GA, 基盤科目-言語コミュニケーション科目, FPE-CO-02502-119-02
フランス語ベーシック１FB, 基盤科目-言語コミュニケーション科目, FPE-CO-02602-111-02
フランス語ベーシック１FC, 基盤科目-言語コミュニケーション科目, FPE-CO-02602-111-02
フランス語ベーシック１FA, 基盤科目-言語コミュニケーション科目, FPE-CO-02602-111-02
フランス語ベーシック２A, 基盤科目-言語コミュニケーション科目, FPE-CO-02602-111-02
中国語ベーシック１CC, 基盤科目-言語コミュニケーション科目, FPE-CO-02202-119-02
中国語ベーシック１CB, 基盤科目-言語コミュニケーション科目, FPE-CO-02202-119-02
中国語ベーシック１CA, 基盤科目-言語コミュニケーション科目, FPE-CO-02202-119-02
中国語ベーシック２, 基盤科目-言語コミュニケーション科目, FPE-CO-02202-119-02
中国語ベーシック３, 基盤科目-言語コミュニケーション科目, FPE-CO-02202-119-02
朝鮮語ベーシック１KA, 基盤科目-言語コミュニケーション科目, FPE-CO-02102-119-02
朝鮮語ベーシック１KB, 基盤科目-言語コミュニケーション科目, FPE-CO-02102-119-02
朝鮮語ベーシック２, 基盤科目-言語コミュニケーション科目, FPE-CO-02102-119-02
マレー・インドネシア語ベーシック１A, 基盤科目-言語コミュニケーション科目, FPE-CO-02302-119-02
マレー・インドネシア語ベーシック２, 基盤科目-言語コミュニケーション科目, FPE-CO-02302-119-02
スペイン語ベーシック１, 基盤科目-言語コミュニケーション科目, FPE-CO-02702-119-02
スペイン語ベーシック２, 基盤科目-言語コミュニケーション科目, FPE-CO-02702-119-02
アラビア語ベーシック２, 基盤科目-言語コミュニケーション科目, FPE-CO-02402-111-02
ロシア語ベーシック１A, 基盤科目-言語コミュニケーション科目, FPE-CO-02902-119-02
ロシア語ベーシック２A, 基盤科目-言語コミュニケーション科目, FPE-CO-02902-119-02
イタリア語ベーシック１A, 基盤科目-言語コミュニケーション科目, FPE-CO-02902-119-02
イタリア語ベーシック１C, 基盤科目-言語コミュニケーション科目, FPE-CO-02902-119-02
イタリア語ベーシック１B, 基盤科目-言語コミュニケーション科目, FPE-CO-02902-119-02
イタリア語ベーシック２, 基盤科目-言語コミュニケーション科目, FPE-CO-02902-119-02
英語インテンシブ１EA, 基盤科目-言語コミュニケーション科目, FPE-CO-02002-112-02
英語インテンシブ１EB, 基盤科目-言語コミュニケーション科目, FPE-CO-02002-112-02
英語インテンシブ１EC, 基盤科目-言語コミュニケーション科目, FPE-CO-02002-112-02
英語インテンシブ１EB, 基盤科目-言語コミュニケーション科目, FPE-CO-02002-112-02
ドイツ語インテンシブ１GB, 基盤科目-言語コミュニケーション科目, FPE-CO-02502-119-02
ドイツ語インテンシブ１GC, 基盤科目-言語コミュニケーション科目, FPE-CO-02502-119-02
ドイツ語インテンシブ１GA, 基盤科目-言語コミュニケーション科目, FPE-CO-02502-119-02
ドイツ語インテンシブ２GA, 基盤科目-言語コミュニケーション科目, FPE-CO-02502-119-02
ドイツ語インテンシブ３GA, 基盤科目-言語コミュニケーション科目, FPE-CO-02502-119-02
フランス語インテンシブ１FB, 基盤科目-言語コミュニケーション科目, FPE-CO-02602-119-02
フランス語インテンシブ１FA, 基盤科目-言語コミュニケーション科目, FPE-CO-02602-119-02
フランス語インテンシブ１FC, 基盤科目-言語コミュニケーション科目, FPE-CO-02602-119-02
フランス語インテンシブ２FA, 基盤科目-言語コミュニケーション科目, FPE-CO-02602-119-02
フランス語インテンシブ３FB, 基盤科目-言語コミュニケーション科目, FPE-CO-02602-119-02
フランス語インテンシブ３FA, 基盤科目-言語コミュニケーション科目, FPE-CO-02602-119-02
フランス語インテンシブ４FA, 基盤科目-言語コミュニケーション科目, FPE-CO-02602-119-02
中国語インテンシブ１CC, 基盤科目-言語コミュニケーション科目, FPE-CO-02202-119-02
中国語インテンシブ１CB, 基盤科目-言語コミュニケーション科目, FPE-CO-02202-119-02
中国語インテンシブ１CD, 基盤科目-言語コミュニケーション科目, FPE-CO-02202-119-02
中国語インテンシブ１CA, 基盤科目-言語コミュニケーション科目, FPE-CO-02202-119-02
中国語インテンシブ２CA, 基盤科目-言語コミュニケーション科目, FPE-CO-02202-119-02
中国語インテンシブ３CA, 基盤科目-言語コミュニケーション科目, FPE-CO-02202-119-02
中国語インテンシブ４CA, 基盤科目-言語コミュニケーション科目, FPE-CO-02202-119-02
朝鮮語インテンシブ１KA, 基盤科目-言語コミュニケーション科目, FPE-CO-02102-119-02
朝鮮語インテンシブ１KB, 基盤科目-言語コミュニケーション科目, FPE-CO-02102-119-02
朝鮮語インテンシブ２KA, 基盤科目-言語コミュニケーション科目, FPE-CO-02102-119-02
マレー・インドネシア語インテンシブ１MB, 基盤科目-言語コミュニケーション科目, FPE-CO-02302-119-02
マレー・インドネシア語インテンシブ１MA, 基盤科目-言語コミュニケーション科目, FPE-CO-02302-119-02
マレー・インドネシア語インテンシブ２MA, 基盤科目-言語コミュニケーション科目, FPE-CO-02302-119-02
マレー・インドネシア語インテンシブ３インドネシア研修, 基盤科目-言語コミュニケーション科目, 
スペイン語インテンシブ１, 基盤科目-言語コミュニケーション科目, FPE-CO-02702-119-02
スペイン語インテンシブ２, 基盤科目-言語コミュニケーション科目, FPE-CO-02702-119-02
スペイン語インテンシブ３, 基盤科目-言語コミュニケーション科目, FPE-CO-02702-119-02
スペイン語インテンシブ４, 基盤科目-言語コミュニケーション科目, FPE-CO-02702-119-02
アラビア語インテンシブ１AA, 基盤科目-言語コミュニケーション科目, FPE-CO-02402-111-02
アラビア語インテンシブ２, 基盤科目-言語コミュニケーション科目, FPE-CO-02402-111-02
日本語インテンシブ１B/日本語インテンシブ１, 基盤科目-言語コミュニケーション科目, FPE-CO-02802-111-02
日本語インテンシブ２A, 基盤科目-言語コミュニケーション科目, FPE-CO-02802-111-02
日本語インテンシブ３B/日本語インテンシブ３, 基盤科目-言語コミュニケーション科目, FPE-CO-02802-111-02
日本語インテンシブ初級２A/日本語インテンシブ初級２, 基盤科目-言語コミュニケーション科目, FPE-CO-02802-111-02
ロシア語インテンシブ１A, 基盤科目-言語コミュニケーション科目, FPE-CO-02902-119-02
ドイツ語スキル, 基盤科目-言語コミュニケーション科目, FPE-CO-02512-219-02
ドイツ語スキル, 基盤科目-言語コミュニケーション科目, FPE-CO-02512-219-02
ドイツ語スキル, 基盤科目-言語コミュニケーション科目, FPE-CO-02512-219-02
ドイツ語スキル, 基盤科目-言語コミュニケーション科目, FPE-CO-02512-219-02
ドイツ語スキル, 基盤科目-言語コミュニケーション科目, FPE-CO-02512-219-02
フランス語スキル(Lire,reformuleretdiscuter), 基盤科目-言語コミュニケーション科目, FPE-CO-02612-319-02
フランス語スキル(原典講読), 基盤科目-言語コミュニケーション科目, FPE-CO-02612-319-02
フランス語スキル(専門表現のフランス語), 基盤科目-言語コミュニケーション科目, FPE-CO-02612-319-02
フランス語スキル(TCF対策), 基盤科目-言語コミュニケーション科目, FPE-CO-02612-319-02
フランス語スキル(文法), 基盤科目-言語コミュニケーション科目, FPE-CO-02612-319-02
フランス語スキル(口語翻訳演習), 基盤科目-言語コミュニケーション科目, FPE-CO-02612-319-02
フランス語スキル(TCF対策), 基盤科目-言語コミュニケーション科目, FPE-CO-02612-319-02
中国語スキル(思想), 基盤科目-言語コミュニケーション科目, FPE-CO-02212-311-02
中国語スキル(近現代史), 基盤科目-言語コミュニケーション科目, FPE-CO-02212-219-02
中国語スキル(ビジネス), 基盤科目-言語コミュニケーション科目, FPE-CO-02212-219-02
中国語スキル(経済), 基盤科目-言語コミュニケーション科目, FPE-CO-02212-219-02
朝鮮語スキル(会話・作文), 基盤科目-言語コミュニケーション科目, FPE-CO-02112-219-02
朝鮮語スキル(読解), 基盤科目-言語コミュニケーション科目, FPE-CO-02112-219-02
マレー・インドネシア語スキル(会話), 基盤科目-言語コミュニケーション科目, FPE-CO-02312-219-02
マレー・インドネシア語スキル(読解), 基盤科目-言語コミュニケーション科目, FPE-CO-02312-219-02
スペイン語スキルB, 基盤科目-言語コミュニケーション科目, FPE-CO-02712-219-02
スペイン語スキルA, 基盤科目-言語コミュニケーション科目, FPE-CO-02712-219-02
アラビア語スキル, 基盤科目-言語コミュニケーション科目, FPE-CO-02412-319-02
アラビア語スキル, 基盤科目-言語コミュニケーション科目, FPE-CO-02412-311-02
アラビア語スキル, 基盤科目-言語コミュニケーション科目, FPE-CO-02412-311-02
アラビア語スキル, 基盤科目-言語コミュニケーション科目, FPE-CO-02412-319-02
日本語スキルP, 基盤科目-言語コミュニケーション科目, FPE-CO-02812-211-02
日本語スキル２Ｗ, 基盤科目-言語コミュニケーション科目, FPE-CO-02812-211-02
日本語スキルＬ, 基盤科目-言語コミュニケーション科目, FPE-CO-02812-211-02
日本語スキル１W, 基盤科目-言語コミュニケーション科目, FPE-CO-02812-211-02
プロジェクト英語ＡEA02(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA05(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA04(Translation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA04(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA06(OralListening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA01(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA03(Listening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA01(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA06(OralListening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA04(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA04(Translation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA05(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ａ(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA02(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA03(Reading/Discussion), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB01(CriticalThinking), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-211-02
プロジェクト英語ＢEB04(Project), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｂ(Listening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｂ(Reading), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB05(Listening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB03(Listening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB02(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB07(Discussion/Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-211-02
プロジェクト英語ＢEB07(Writing), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB02(OralListening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｂ(Project), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB03(Project), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-211-02
プロジェクト英語ＢEB04(Listening+Writing), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB01(OralListening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB05(Writing), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB06(Writing), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB01(OralListening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC02(Presentation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC02(Listening)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC08(Writing)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｃ(Presentation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC07(OralListening)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC06(Translation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｃ(Speaking)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC05(Project)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC01(OralListening)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC05(Reading)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC04(Presentation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC03(Project)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC08(Reading)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｃ(Project)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｃ(CreativeWriting)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC04(Project)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC03(Translation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC07(Presentation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC01(Presentation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC06(IndieRock)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
日独社会研究（ドイツ語圏）/ドイツ語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-229-88
文化論（ドイツ語圏）/ドイツ語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-219-88
地域論（ドイツ語圏）/ドイツ語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-219-85
社会論（フランス語圏）/フランス語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-219-86
言語教育実践論（中国語圏）/中国語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-211-02
地域と文化（スペイン語圏）/スペイン語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-219-88
アカデミックプレゼンテーション実践(GIGA/GG/GI)/英語コンテンツ, 基盤科目-共通科目, FPE-CO-03303-212-89
ドイツ語海外研修Ｂ, 基盤科目-言語コミュニケーション科目, 
フランス語海外研修Ａ, 基盤科目-言語コミュニケーション科目, 
フランス語海外研修Ｂ, 基盤科目-言語コミュニケーション科目, 
朝鮮語海外研修Ａ(初級), 基盤科目-言語コミュニケーション科目, 
マレー・インドネシア語海外研修Ｂ, 基盤科目-言語コミュニケーション科目, 
スペイン語海外研修Ａ(スペイン・サンセバスティアン市), 基盤科目-言語コミュニケーション科目, FPE-CO-02702-119-02
スペイン語海外研修Ａ(スペイン・サラマンカ市), 基盤科目-言語コミュニケーション科目, 
スペイン語海外研修Ｂ, 基盤科目-言語コミュニケーション科目, 
アラビア語海外研修Ｂ, 基盤科目-言語コミュニケーション科目, 
統計基礎[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-12
統計基礎[DS1](GIGA/GG/GI), 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-212-12
統計基礎[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-12
確率[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03013-211-12
確率[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03013-211-12
確率[DS1](GIGA/GG/GI), 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03013-232-12
確率[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03013-231-12
微分・積分[DS1](GIGA/GG/GI), 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-212-12
微分・積分[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-12
微分・積分[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-12
微分・積分[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-12
線形代数[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-11
線形代数[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-11
線形代数[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-221-11
線形代数[DS1](GIGA/GG/GI), 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-212-11
経済・ファイナンスのデータサイエンス[DS2]/時系列解析法, 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-211-07
情報と社会のデータサイエンス[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-211-88
環境ガバナンスのデータサイエンス[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03023-221-88
生命動態のデータサイエンス[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-221-88
統計解析[DS2](GIGA/GG/GI), 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-312-12
統計解析[DS2]【学期前半】, 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-211-12
ベイズ統計[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-221-12
最適化の数理[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-211-60
数理解析[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-211-12
生命科学実験の基礎[DS2](TTCK), 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-311-88
バイオインフォマティクスのデータサイエンス[DS2](GIGA/GG/GI), 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-222-88
アルゴリズムサイエンス[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-211-60
情報基礎１(11), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
